step,liquidatorOrders,liquidations,liquidatedPositionNotional,stepLiquidatorRewardsPaid,stepLiquidationPenaltyCollected,stepMarginReturnedFromLiquidation,stepInsuranceFundOutflow,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2,2,22561.0,180.488,338.415,0.0,0.0,180.488,338.415,0.0,0.0
23,4,4,39512.0,293.72,550.725,0.0,223.81129,474.208,889.14,0.0,223.81129
24,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
25,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
26,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
27,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
28,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
29,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
30,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
31,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
32,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
33,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
34,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
35,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
36,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
37,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
38,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
39,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
40,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
41,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
42,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
43,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
44,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
45,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
46,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
47,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
48,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
49,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
50,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
51,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
52,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
53,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
54,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
55,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
56,0,0,0.0,0.0,0.0,0.0,0.0,474.208,889.14,0.0,223.81129
