step,price,openInterest,tvl,marginVaultDelta,insuranceBalance,insuranceBalanceDelta,protocolTreasuryBalance,protocolTreasuryDelta,badDebt,badDebtDelta,protocolRevenue,protocolRevenueDelta,sumAccountCollateral,accountCollateralDelta,sumReservedMargin,reservedMarginDelta,sumAvailableCollateral,availableCollateralDelta,sumTraderFundingOwed,traderFundingOwedDelta,solvencyBuffer,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2755,0.0,84988.7245,0.0,1503.4,0.0,83485.3245,0.0,0.0,0.0,0.0,3.7585,7.517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,20579.0,84944.815,-55.185,25.753,25.753,0.0,0.0,0.0,0.0,23.9505,12.675,84915.053928,-73.670572,2057.9,554.5,82862.9645,-622.36,0.0,0.0,5.810572,7.9835,15.967,0.0,25.753,0.0,25.753,2,2,29.432,55.185,9929.568428,0,2,6,0,6,4,2,33.333,10.71,0.697,7.73,4.00,3.00,0
2,2002.16,15167.0,84837.145,-107.67,75.999,50.246,0.0,0.0,0.0,0.0,29.091,5.1405,84802.51831,-112.535618,1516.7,-541.2,83291.586432,428.621932,0.0,0.0,5.53569,9.697,19.394,0.0,75.999,0.0,75.999,2,2,86.856,162.855,19812.278573,0,3,7,0,6,6,0,33.333,10.57,0.166,0.63,0.00,0.00,0
3,2004.71,94301.0,84641.965,-195.18,167.083,91.084,0.0,0.0,0.0,0.0,99.234,70.143,84527.299148,-275.219162,9430.1,7913.4,75099.063515,-8192.522917,0.0,0.0,15.431852,33.078,66.156,0.0,167.083,0.0,167.083,5,5,190.952,358.035,44598.720921,0,3,7,0,6,6,0,83.333,11.92,1.047,12.72,7.00,5.00,0
4,2004.78,51182.0,83922.55,-719.415,502.81,335.727,0.0,0.0,0.0,0.0,102.8655,3.6315,83802.515077,-724.784071,5118.2,-4311.9,78687.998357,3588.934842,0.0,0.0,17.169423,34.2885,68.577,0.0,502.81,0.0,502.81,3,3,574.64,1077.45,58839.607849,0,3,7,0,6,6,0,50.000,11.88,95.026,0.38,0.00,0.00,0
5,2003.56,15794.0,83126.56,-795.99,874.272,371.462,0.0,0.0,0.0,0.0,116.124,13.2585,82965.021685,-837.493392,1579.4,-3538.8,81386.970451,2698.972094,0.0,0.0,45.414315,38.708,77.416,0.0,874.272,0.0,874.272,5,5,999.168,1873.44,82837.904269,0,2,4,0,6,4,2,83.333,12.94,0.685,6.10,3.00,2.00,0
6,2000.15,75654.0,83030.23,-96.33,919.226,44.954,0.0,0.0,0.0,0.0,166.635,50.511,82809.486586,-155.535099,7565.4,5986.0,75259.156813,-6127.813638,0.0,0.0,54.108414,55.545,111.09,0.0,919.226,0.0,919.226,1,1,1050.544,1969.77,87725.224786,0,3,8,0,6,6,0,16.667,11.48,0.780,17.05,10.00,6.00,0
7,2002.28,41980.0,82525.12,-505.11,1154.944,235.718,0.0,0.0,0.0,0.0,169.713,3.078,82267.602631,-541.883955,4198.0,-3367.4,78108.398201,2849.241388,0.0,0.0,87.804369,56.571,113.142,0.0,1154.944,0.0,1154.944,3,3,1319.936,2474.88,102037.564761,0,2,7,0,6,4,2,50.000,11.34,3.749,10.66,6.00,4.00,0
8,2006.26,35573.0,82386.025,-139.095,1219.855,64.911,0.0,0.0,0.0,0.0,171.8625,2.1495,82114.471895,-153.130736,3557.3,-640.7,78656.227028,547.828827,0.0,0.0,99.690605,57.2875,114.575,0.0,1219.855,0.0,1219.855,2,2,1394.12,2613.975,111799.995133,0,2,8,0,6,4,2,33.333,11.34,34.609,19.87,11.00,7.00,0
9,2008.86,36660.0,82371.04,-14.985,1226.848,6.993,0.0,0.0,0.0,0.0,205.005,33.1425,82156.812768,42.340873,3666.0,108.7,78543.178826,-113.048202,0.0,0.0,9.222232,68.335,136.67,0.0,1226.848,0.0,1226.848,1,1,1402.112,2628.96,116736.877901,0,2,10,0,6,4,2,16.667,11.22,34.149,13.00,7.00,5.00,0
10,2008.54,14731.0,82039.615,-331.425,1381.513,154.665,0.0,0.0,0.0,0.0,215.382,10.377,81832.819183,-323.993585,1473.1,-2192.9,80388.724408,1845.545582,0.0,0.0,-8.586183,71.794,143.588,0.0,1381.513,0.0,1381.513,2,2,1578.872,2960.385,125533.613665,0,3,10,0,6,6,0,33.333,11.38,12.083,1.60,0.00,0.00,0
11,2012.12,19792.0,81980.14,-59.475,1409.268,27.755,0.0,0.0,0.0,0.0,222.528,7.146,81764.191077,-68.628106,1979.2,506.1,79838.31087,-550.413538,0.0,0.0,-6.579077,74.176,148.352,0.00005,1409.268,0.0,1409.268,2,2,1610.592,3019.86,135325.067499,0,2,10,0,6,4,2,33.333,11.54,10.823,17.83,10.00,7.00,0
12,2015.27,107418.0,81980.14,0.0,1409.268,0.0,0.0,0.0,0.0,0.0,290.7585,68.2305,81693.344966,-70.846111,10741.8,8762.6,71033.248703,-8805.062167,0.0,0.0,-3.963466,96.9195,193.839,0.00005,1409.268,0.0,1409.268,0,0,1610.592,3019.86,135325.067499,0,3,14,0,6,6,0,0.000,11.13,1.362,15.62,9.00,6.00,0
13,2019.05,105249.0,81297.835,-682.305,1727.677,318.409,0.0,0.0,0.0,0.0,330.3255,39.567,80903.904814,-789.440152,10524.9,-216.9,70558.994318,-474.254385,0.0,0.0,63.604686,110.1085,220.217,0.00005,1727.677,0.0,1727.677,3,3,1974.488,3702.165,149396.275378,0,3,12,0,6,6,0,50.000,11.16,3.859,18.77,11.00,7.00,0
14,2020.08,122836.0,80972.95,-324.885,1879.29,151.613,0.0,0.0,0.0,0.0,365.625,35.2995,80555.125733,-348.779081,12283.6,1758.7,68471.826008,-2087.16831,0.0,0.0,52.199267,121.875,243.75,0.00005,1879.29,0.0,1879.29,2,2,2147.76,4027.05,158887.622979,0,2,12,0,6,4,2,33.333,11.25,5.260,5.11,3.00,2.00,0
15,2018.05,95698.0,80595.85,-377.1,2055.27,175.98,0.0,0.0,0.0,0.0,373.0005,7.3755,80158.297917,-396.827816,9569.8,-2713.8,70716.966029,2245.140021,0.0,0.0,64.551583,124.3335,248.667,0.00005,2055.27,0.0,2055.27,2,2,2348.88,4404.15,168108.689531,0,2,10,0,6,4,2,33.333,11.06,4.138,10.05,6.00,4.00,0
16,2017.84,122724.0,80595.85,0.0,2055.27,0.0,0.0,0.0,0.0,0.0,397.206,24.2055,80134.747719,-23.550198,12272.4,2702.6,67983.908619,-2733.05741,0.0,0.0,63.896281,132.402,264.804,0.00005,2055.27,0.0,2055.27,0,0,2348.88,4404.15,168108.689531,0,3,13,0,6,6,0,0.000,10.89,2.819,1.07,0.00,0.00,0
17,2016.26,89666.0,79892.38,-703.47,2383.556,328.286,0.0,0.0,0.0,0.0,407.586,10.38,79408.635165,-726.112554,8966.6,-3305.8,70530.186349,2546.27773,0.0,0.0,76.158835,135.862,271.724,0.00005,2383.556,0.0,2383.556,3,3,2724.064,5107.62,182066.681929,0,3,11,0,6,6,0,50.000,11.06,1.296,7.80,4.00,3.00,0
18,2018.46,94471.0,79541.155,-351.225,2547.461,163.905,0.0,0.0,0.0,0.0,428.751,21.165,79027.238641,-381.396524,9447.1,480.5,69689.972484,-840.213865,0.0,0.0,85.165359,142.917,285.834,0.00005,2547.461,0.0,2547.461,4,4,2911.384,5458.845,200179.797032,0,2,9,0,6,4,2,66.667,10.75,2.175,10.90,6.00,4.00,0
19,2021.41,95279.0,79094.875,-446.28,2755.725,208.264,0.0,0.0,0.0,0.0,451.671,22.92,78523.421624,-503.817017,9527.9,80.8,69191.2092,-498.763284,0.0,0.0,119.782376,150.557,301.114,0.00005,2755.725,0.0,2755.725,2,2,3149.4,5905.125,208621.441984,0,1,9,0,6,2,4,33.333,10.59,5.236,14.61,8.00,5.00,0
20,2022.59,96475.0,78865.675,-229.2,2862.685,106.96,0.0,0.0,0.0,0.0,483.3225,31.6515,78276.998919,-246.422705,9647.5,119.6,68848.647156,-342.562044,0.0,0.0,105.353581,161.1075,322.215,0.00005,2862.685,0.0,2862.685,1,1,3271.64,6134.325,213018.946708,0,3,9,0,6,6,0,16.667,10.18,10.711,5.86,3.00,2.00,0
21,2024.86,107363.0,78742.105,-123.57,2920.351,57.666,0.0,0.0,0.0,0.0,512.142,28.8195,78161.310472,-115.688447,10736.3,1088.8,67697.287386,-1151.35977,0.0,0.0,68.652528,170.714,341.428,0.00005,2920.351,0.0,2920.351,2,2,3337.544,6257.895,222134.798311,0,2,8,0,6,4,2,33.333,9.95,10.227,11.21,6.00,4.00,0
22,2027.19,108752.0,78598.66,-143.445,2987.292,66.941,0.0,0.0,0.0,0.0,520.356,8.214,77998.660912,-162.64956,10875.2,138.9,67508.402446,-188.88494,0.0,0.0,79.643088,173.452,346.904,0.00005,2987.292,0.0,2987.292,2,2,3414.048,6401.34,230367.134709,0,2,8,0,6,4,2,33.333,10.38,18.860,11.49,6.00,4.00,0
23,2028.43,146892.0,78516.52,-82.14,3025.624,38.332,0.0,0.0,0.0,0.0,559.125,38.769,77884.794781,-113.866131,14689.2,3814.0,63633.549543,-3874.852903,0.0,0.0,72.600219,186.375,372.75,0.0001,3025.624,0.0,3025.624,2,2,3457.856,6483.48,239249.471844,0,2,9,0,6,4,2,33.333,10.25,5.736,6.12,3.00,2.00,0
24,2028.05,121046.0,78128.83,-387.69,3206.546,180.922,0.0,0.0,0.0,0.0,559.125,0.0,77492.249993,-392.544788,12104.6,-2584.6,65810.978411,2177.428868,0.0,0.0,77.455007,186.375,372.75,0.0001,3206.546,0.0,3206.546,2,2,3664.624,6871.17,247817.21119,0,0,7,0,6,0,6,33.333,10.25,4.551,1.88,1.00,0.00,0
25,2024.59,169337.0,78031.405,-97.425,3252.011,45.465,0.0,0.0,0.0,0.0,600.2145,41.0895,77352.96996,-139.280033,16933.7,4829.1,60710.54287,-5100.435541,0.0,0.0,78.22054,200.0715,400.143,0.0001,3252.011,0.0,3252.011,1,1,3716.584,6968.595,252551.40457,0,2,9,0,6,4,2,16.667,9.99,2.442,17.07,10.00,6.00,0
26,2023.18,186464.0,76844.59,-1186.815,3805.858,553.847,0.0,0.0,0.0,0.0,672.4005,72.186,76074.861761,-1278.108199,18646.4,1712.7,57689.354465,-3021.188405,0.0,0.0,97.327739,224.1335,448.267,0.0001,3805.858,0.0,3805.858,3,3,4349.552,8155.41,264752.052447,0,2,8,0,6,4,2,50.000,9.93,0.916,6.95,4.00,2.00,0
27,2020.80,168814.0,76238.74,-605.85,4088.588,282.73,0.0,0.0,0.0,0.0,693.2295,20.829,75414.110699,-660.751062,16881.4,-1765.0,58837.008507,1147.654042,0.0,0.0,131.399801,231.0765,462.153,0.0001,4088.588,0.0,4088.588,1,1,4672.672,8761.26,268704.895442,0,2,10,0,6,4,2,16.667,9.86,0.553,11.78,7.00,4.00,0
28,2022.83,168098.0,75990.67,-248.07,4204.354,115.766,0.0,0.0,0.0,0.0,705.096,11.8665,75140.165374,-273.945325,16809.8,-71.6,58599.970076,-237.038431,0.0,0.0,145.408626,235.032,470.064,0.0001,4204.354,0.0,4204.354,2,2,4804.976,9009.33,277109.106341,0,3,13,0,6,6,0,33.333,10.01,0.680,10.09,6.00,4.00,0
29,2019.61,167490.0,75707.86,-282.81,4336.332,131.978,0.0,0.0,0.0,0.0,743.046,37.95,74818.894163,-321.271211,16749.0,-60.8,58390.698659,-209.271417,0.0,0.0,145.919837,247.682,495.364,0.0001,4336.332,0.0,4336.332,3,3,4955.808,9292.14,289648.633899,0,2,11,0,6,4,2,50.000,9.87,0.534,15.96,9.00,6.00,0
30,2017.82,147202.0,75353.35,-354.51,4501.77,165.438,0.0,0.0,0.0,0.0,747.0315,3.9855,74452.397755,-366.496408,14720.2,-2028.8,60105.659531,1714.960872,0.0,0.0,153.920745,249.0105,498.021,0.0001,4501.77,0.0,4501.77,3,3,5144.88,9646.65,302681.751432,0,2,9,0,6,4,2,50.000,9.71,0.328,8.83,5.00,3.00,0
