step,liquidatorOrders,liquidations,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
0,2,0,0.0,0.0,0.0,0.0
1,6,3,38.728631,72.616184,4729.734118,109.250773
2,6,3,62.740428,117.638303,7662.174855,930.4064
3,7,4,101.142809,189.642768,12352.06569,1482.704496
4,7,3,122.908539,230.453512,15010.205511,1482.704496
5,7,3,144.234249,270.439219,17614.607944,2000.405393
6,9,5,187.981251,352.464848,22957.210594,4816.273386
7,9,5,234.699841,440.062205,28662.718507,4816.273386
8,10,6,270.922784,507.980223,33086.445427,6860.250554
9,9,5,310.051484,581.346536,37865.037978,7224.773774
10,11,6,345.892796,648.548996,42242.158217,7616.291569
11,9,5,371.465906,696.498578,45365.274337,7616.291569
12,10,5,416.009197,780.017248,50805.123752,9091.212423
13,11,6,462.832168,867.810319,56523.379156,9091.212423
14,10,6,497.584415,932.970782,60767.497366,10464.715386
15,10,6,536.769018,1006.441914,65552.917129,12390.8083
16,10,5,561.224162,1052.295309,68539.50164,13993.610668
17,9,4,586.697419,1100.057667,71650.423229,13993.610668
18,10,5,615.260379,1153.613217,75138.674755,14819.916024
19,8,4,649.108929,1217.079248,79272.428928,14819.916024
20,10,5,695.043146,1303.205905,84882.145208,18090.23362
21,9,5,737.329878,1382.493529,90046.412475,20925.836215
22,9,5,766.430439,1437.057081,93600.3185,23230.073247
23,11,6,794.974685,1490.577543,97086.284651,23230.073247
24,9,5,821.601369,1540.502576,100338.06848,23230.073247
25,12,7,855.094711,1603.302594,104428.44299,23230.073247
26,12,7,910.415279,1707.02866,111184.467477,25908.10296
27,10,5,951.266382,1783.624479,116173.408529,25908.10296
28,9,5,976.971405,1831.821398,119312.634549,27009.839338
29,10,6,1032.936642,1936.756217,126147.389125,28189.797277
30,10,5,1066.864885,2000.371673,130290.875867,29695.530645
31,10,5,1097.560014,2057.92504,134039.518535,30876.590975
32,10,5,1144.050619,2145.094925,139717.183774,33451.679503
33,9,5,1181.355523,2215.041621,144273.045266,35399.521048
34,11,6,1219.376485,2286.330925,148916.355282,37407.835264
35,11,6,1274.050963,2388.845571,155593.475945,37407.835264
36,9,5,1309.029681,2454.430667,159865.251919,39390.191434
37,12,7,1342.481545,2517.152913,163950.560899,39390.191434
38,10,6,1395.040343,2615.70066,170369.304218,39390.191434
39,10,6,1435.039234,2690.698581,175254.168819,40283.496148
40,9,5,1466.747573,2750.151717,179126.549756,40283.496148
