step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
0,2003.84,15034.0,85000.0,0.0,0.0,11.2755,3.7585,7.517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,5,0,6,6,0,0.000,11.83,1.000,19.19,11.00,7.00,0
1,2002.29,31934.0,85000.0,0.0,0.0,23.9505,7.9835,15.967,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,8,0,6,4,2,0.000,10.71,1.000,7.73,4.00,3.00,0
2,2002.16,105364.0,85000.0,0.0,0.0,79.023,26.341,52.682,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,10,0,6,6,0,0.000,9.29,1.000,0.63,0.00,0.00,0
3,2004.71,197354.0,85000.0,0.0,0.0,148.0155,49.3385,98.677,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,14,0,6,4,2,0.000,9.71,1.000,12.72,7.00,5.00,0
4,2004.78,208242.0,85000.0,0.0,0.0,156.1815,52.0605,104.121,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,14,0,6,4,2,0.000,10.78,1.000,0.38,0.00,0.00,0
5,2003.56,213880.0,85000.0,0.0,0.0,160.41,53.47,106.94,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,15,0,6,4,2,0.000,11.47,1.000,6.10,3.00,2.00,0
6,2000.15,259002.0,85000.0,0.0,0.0,194.2515,64.7505,129.501,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,16,0,6,4,2,0.000,10.55,1.000,17.05,10.00,6.00,0
7,2002.28,264596.0,85000.0,0.0,0.0,198.447,66.149,132.298,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,16,0,6,2,4,0.000,10.17,1.000,10.66,6.00,4.00,0
8,2006.26,264596.0,85000.0,0.0,0.0,198.447,66.149,132.298,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,16,0,6,0,6,0.000,10.17,1.000,19.87,11.00,7.00,0
9,2008.86,284888.0,85000.0,0.0,0.0,213.666,71.222,142.444,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,17,0,6,6,0,0.000,10.40,1.000,13.00,7.00,5.00,0
10,2008.54,287754.0,85000.0,0.0,0.0,215.8155,71.9385,143.877,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,17,0,6,4,2,0.000,10.48,1.000,1.60,0.00,0.00,0
11,2012.12,328508.0,85000.0,0.0,0.0,246.381,82.127,164.254,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,17,0,6,2,4,0.000,10.16,1.000,17.83,10.00,7.00,0
12,2015.27,339872.0,85000.0,0.0,0.0,254.904,84.968,169.936,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,17,0,6,4,2,0.000,9.69,1.000,15.62,9.00,6.00,0
13,2019.05,355766.0,85000.0,0.0,0.0,266.8245,88.9415,177.883,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,17,0,6,6,0,0.000,10.82,1.000,18.77,11.00,7.00,0
14,2020.08,365920.0,85000.0,0.0,0.0,274.44,91.48,182.96,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,17,0,6,6,0,0.000,11.10,1.000,5.11,3.00,2.00,0
15,2018.05,375486.0,85000.0,0.0,0.0,281.6145,93.8715,187.743,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,17,0,6,4,2,0.000,10.70,1.000,10.05,6.00,4.00,0
16,2017.84,394350.0,85000.0,0.0,0.0,295.7625,98.5875,197.175,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,17,0,6,6,0,0.000,10.82,1.000,1.07,0.00,0.00,0
17,2016.26,407420.0,85000.0,0.0,0.0,305.565,101.855,203.71,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,17,0,6,6,0,0.000,10.72,1.000,7.80,4.00,3.00,0
18,2018.46,420848.0,85000.0,0.0,0.0,315.636,105.212,210.424,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,17,0,6,4,2,0.000,10.43,1.000,10.90,6.00,4.00,0
19,2021.41,421980.0,85000.0,0.0,0.0,316.485,105.495,210.99,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,17,0,6,2,4,0.000,10.40,1.000,14.61,8.00,5.00,0
20,2022.59,432816.0,85000.0,0.0,0.0,324.612,108.204,216.408,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,3,17,0,6,6,0,0.000,10.51,1.000,5.86,3.00,2.00,0
21,2024.86,444706.0,85000.0,0.0,0.0,333.5295,111.1765,222.353,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,17,0,6,4,2,0.000,10.88,1.000,11.21,6.00,4.00,0
22,2027.19,457330.0,85000.0,0.0,0.0,342.9975,114.3325,228.665,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,17,0,6,2,4,0.000,10.71,1.000,11.49,6.00,4.00,0
